Barcode,UMAP-1,UMAP-2
aaaaficg-1,-5.656797720885404,4.791952644176932
aaabbaka-1,2.1651898259056415,-5.850041079470807
aaabbjoo-1,0.6654905938622291,-7.683478050219877
aaablchg-1,2.98973520810426,-6.87469380992555
aaacaicl-1,5.608403219271082,-5.032370948199725
aaacfcef-1,5.371642378075571,-6.198296064453054
aaacgpjg-1,0.6958171471682782,-6.5022352694910905
aaacjhpm-1,-0.7284260792584237,-8.353242293155926
aaacjlia-1,1.0663247265062954,-5.7263681462062985
aaadbiaa-1,0.6207156795323302,-8.032574855192436
aaadfjoi-1,-0.5791353849533238,-8.370552443274088
aaaemhod-1,-0.9706095017218469,-7.072530187149391
aaaenkpb-1,1.0747704101510134,-4.98581138175539
aaaepjnl-1,7.236476080051302,-5.741494777689579
aaaeppnp-1,8.68203361562292,-3.332937552774251
aaafcbie-1,4.144795275222861,-6.417102166941188
aaafdehd-1,4.298408582873445,-7.517812864418916
aaafjobf-1,5.344789776163257,-3.162994994822544
aaafomjc-1,-1.5166489917325503,1.6046738229882045
aaagacpn-1,0.40828633962021693,-7.032272932896045
aaagbaln-1,5.235175564606942,-4.613557970235149
aaaggghd-1,3.800833127096606,-5.409652004528921
aaagilmj-1,3.700706861609093,-3.635076516601537
aaagooec-1,0.8944317352612002,-6.943507770994053
aaaigpli-1,-4.305351506912346,1.3370345667143804
aaajdhjj-1,4.017776976204356,-6.54780199803515
aaajffgi-1,2.2704652038498567,-6.905022324902774
aaajmcaa-1,5.955595133325657,-2.372826368472079
aaajmigb-1,5.6687574465263175,-1.7954460705128954
aaakbfic-1,5.783511787250061,-4.6172821755753475
aaakhpno-1,1.5885555530326514,-6.297010945084272
aaalddkj-1,4.772455448319859,-2.706192285638428
aaalndjo-1,3.8994618894890447,-6.3858811003286
aaamfahn-1,3.9044388193236066,-4.345118490831015
aaamhpkm-1,2.282838459343522,-6.300038929249564
aaanehdc-1,4.810586746333327,-4.167679321275381
aaangddg-1,5.028557393517419,-5.2621973853139155
aaanlfop-1,6.658487134812878,-1.529336306408404
aaaoceef-1,0.5630207762200783,-6.737707581001097
aaapaopp-1,0.5299583694921823,-8.69178534100526
aababfmh-1,1.9052224740275376,-4.291225161688784
aabaehnj-1,5.123544939909832,-4.0365683051486405
aabbdjmm-1,2.064659073135692,-6.8320673465787385
aabbknpo-1,1.4701174439204157,-6.333527145111091
aabbmiod-1,4.368321732524867,-5.149587574696856
aabbnnkg-1,2.2066674926947547,-7.179699475509032
aabcdghb-1,5.115558056441914,-5.312747113874084
aabdfioj-1,7.7599602668301335,-2.956349095941316
aabdgjkg-1,5.453747264940182,-5.601336276752739
aabdhpoh-1,4.0614092711726615,-7.380016138622844
aabdimjf-1,0.5376265797336011,-7.044531914896803
aabeakhn-1,4.899519648191664,-1.575164019677201
aabegpil-1,2.728064813695643,-7.303363909547949
aabeiphg-1,3.716895958630047,-5.213974913581029
aabejfkp-1,3.485909813005709,-7.742619146160929
aabemhbb-1,2.5548219321490615,-4.918113045648987
aabfcjlb-1,3.6665928994512202,-6.739368769896823
aabfdgke-1,1.9642347905429898,-7.308585309660604
aabfjlkh-1,1.8972328810895727,-8.76071280506023
aabgbheo-1,1.4164816733535228,-8.3842538556327
aabgomej-1,2.262206571428845,-6.817772782589576
aabhpkfp-1,1.4760116491533157,-8.635174951316518
aabiebdh-1,1.1756203718827403,2.777235238371699
aabionle-1,2.554137639557604,-7.685415242832365
aabjbipn-1,0.5814057498435691,-7.813736918908499
aabjcbbo-1,2.8782167703547112,-6.1440998465284125
aabjhgmd-1,-0.21248588851604117,-8.193809598123659
aabjlcml-1,-1.4151214431484547,-6.545548683830023
aabjlhgd-1,1.061964654878911,-7.998238392038586
aablbckh-1,1.0830460337622856,-5.494555640901664
aablfoif-1,-2.3492116394198463,-7.201310726099866
aabmcckj-1,-1.109406761931549,-5.729340150531674
aabmecgi-1,-0.32228079807959253,-8.644948029814822
aabmhcmo-1,3.4669846267839834,-7.701815719250335
aabmkhod-1,0.19325847487785727,-8.801010747320385
aabmogfo-1,4.81844896079331,-6.090412171109874
aabnadod-1,-1.7981386168398181,-6.291154402251903
aabnapoc-1,4.969867239777964,-5.321771868531621
aabndimf-1,3.705323911529138,-7.970361550099579
aabnhmkh-1,0.10734437478341524,-8.831083241905038
aabnmkbe-1,0.013863011219559008,-5.420480218104499
aabnmoaf-1,-8.335784698154534,2.8226749917714766
aabnnnll-1,-0.08784650173116675,-4.703098939343868
aabnphok-1,5.6632015497616806,-6.287986640521524
aaboidmd-1,5.521965150881134,-4.684039277305217
aaboonfb-1,-1.8846043597498316,2.1627368216018086
aabpdikl-1,-8.536721393989428,3.5838356482867257
aabpeanl-1,-7.390281996357671,3.313062514172939
aabpfkgb-1,-3.2291515079716384,1.7622262366368013
aabpmdga-1,-0.4478508647643055,-5.572130350648536
aabpoipm-1,1.479860812553886,-7.526122294721368
aacadlgc-1,-8.948404643846818,3.89034459942379
aacbafam-1,-3.7601458714299616,2.5685822956484863
aacbkcaa-1,-9.75587717456877,2.6474492833493093
aacbkdhd-1,-10.200610781197012,3.1654675797396035
aacbkjko-1,4.74008446386788,-0.33842577343683417
aacboiog-1,6.710825474041679,-5.641679580925226
aaccidbg-1,3.498611195194229,-6.2329057619188
aaccjmbl-1,2.870200958867127,-5.101857442338349
aacdgeeg-1,1.4284294154766846,-7.679797698488377
aacdgekg-1,1.446288279904471,2.869114195484465
aacdpidd-1,-0.03555649321523244,-8.47148264423426
aacdpipe-1,-8.365603670937816,3.7062025611908953
aacebadi-1,-9.39599142373438,3.124300983682404
aacedlmo-1,0.9837644406845809,-6.483194171633547
aacefile-1,-7.808637351260595,2.8613716659642807
aacegbkl-1,2.402874150643441,-7.393201754602266
aacelodb-1,0.9454747840560307,-8.630493445892778
aacfcfga-1,1.9882405071575018,-4.4792658655852655
aacfcfmi-1,2.093494294263533,-6.517125143176021
aacghemc-1,8.656591124413616,-4.192450560615308
aacgiecg-1,5.284482631362951,-7.605442343711443
aacgkjbg-1,-1.6318134214528106,7.833455373698001
aacglhea-1,1.614815636953789,-8.855186751454738
aacgmnmj-1,1.6964723882135624,-1.7439561064945275
aachffcl-1,1.1813883666510172,-4.272277702316568
aachlgii-1,2.514458716016894,-5.566421645152137
aaciilkb-1,4.586500645136893,-4.820734933539923
aacjhamf-1,5.8686628336910305,-5.590656894616199
aacjiiei-1,1.8171482008847064,-5.627062294519931
aackngbk-1,-1.0097605070906561,-6.29406639113466
aacleomd-1,0.25281653669632337,-4.977903029335818
aaclnhmj-1,-0.2969522006426377,-7.054350623096425
aacmcflp-1,3.982995761976281,-5.935081033646225
aacmfndg-1,2.8427065898758954,-6.521773340319787
aacndalj-1,1.251507890296032,-7.1765793466656325
aacoblac-1,3.333483321330343,-7.089776198133743
aacohmeb-1,3.5916685604052723,-6.153612615937387
aacoocod-1,-0.9086408175096876,-6.318776693595977
aacoogah-1,0.2511296489678351,-8.388737136603586
aacpadip-1,-2.2612989757980464,-6.58562061630325
aacpcecf-1,5.329892214848094,-4.68166646979203
aacpgpic-1,2.434006016250438,-5.315820286749073
aacplonl-1,1.1675377856905158,-5.377414985951489
aacpnohh-1,4.27566995432398,-6.676679613748797
aadajclg-1,0.08939960341915837,-6.3085029301933035
aadbcemp-1,-7.282198052397308,9.27713497018636
aadbebne-1,-2.3304682537734585,4.660951298177158
aadbgech-1,5.309193006034794,-5.570202911754576
aadbhgfe-1,-0.29859324793817554,-5.46877976836142
aadbjjch-1,2.801117608290285,-5.052874878523768
aadcanlk-1,0.9666294648833994,-5.718924773808917
aadccdib-1,5.274526429463671,-7.043588942009287
aadccfjm-1,4.346739259604269,-7.107269789914744
aadcecpj-1,4.327683187071416,-3.605266299960531
aadcemnn-1,5.941338140696807,-6.12327579828197
aadcldle-1,3.258924970483159,-6.917917548416019
aaddadol-1,0.07290608645749863,-7.253161683357245
aaddoneb-1,2.5834217453171093,-8.78948571652184
aaddooil-1,0.15281149585864306,-6.942609011611467
aadeehpj-1,1.2858654995756293,-8.803757584152086
aadenmpc-1,0.36309378525419544,-6.965370046775895
aadeojnc-1,3.9678209502142083,-6.442409918135862
aadhbkom-1,-1.2022142163502259,1.5878855742767013
aadhlhaf-1,0.5940489018988891,-7.427403400100031
aadichfj-1,-2.1510538223749323,-7.27984009208695
aadiehan-1,5.10137530922021,-5.917080924284698
aadiiaef-1,3.8583529921773327,-4.7540815063743596
aadimddc-1,4.81733329241413,-5.766692865219295
aadjggcp-1,-0.14719192518348692,-4.246045572313871
aadjpgei-1,0.07301453480076495,-7.428618428788379
aadkahjm-1,0.6601339675202217,-6.317643837401732
aadlghao-1,1.0635261996007859,-8.637665927929092
aadlkkak-1,5.207974786369312,-6.728320377954794
aadlkmmj-1,0.26273061063856207,-7.795761124676529
aadmadma-1,-0.0890602470660555,-4.8471654221385885
aadmddgn-1,3.2028198323386303,-6.2132646360880335
aadmejdi-1,0.79206385817225,-6.489977502393493
aadnhhab-1,2.1661201696518644,-8.317225061742056
aadnpkhi-1,0.7793365218539908,-6.024239688082816
aadobgmh-1,-1.0035104452301633,-8.055307631091797
aaeapfnc-1,-8.489643921438882,3.098388655798296
